Status,Duration,CreditHistory,Purpose,CreditAmount,Savings,Employment,InstallmentRate,Residence,Housing,ExistingCredits,Job,Dependents,Telephone,Foreign,Risk
A65,A75,4,A93,A101,4,A121,67,A143,A152,2,A173,1,A192,A201,1
A61,A73,2,A92,A101,2,A121,22,A143,A152,1,A173,1,A191,A201,2
A61,A74,2,A93,A101,3,A121,49,A143,A152,1,A172,2,A191,A201,1
A61,A74,2,A93,A103,4,A122,45,A143,A153,1,A173,2,A191,A201,1
A61,A73,3,A93,A101,4,A124,53,A143,A153,2,A173,2,A191,A201,2
A65,A73,2,A93,A101,4,A124,35,A143,A153,1,A172,2,A192,A201,1
A63,A75,3,A93,A101,4,A122,53,A143,A152,1,A173,1,A191,A201,1
A61,A73,2,A93,A101,2,A123,35,A143,A151,1,A174,1,A192,A201,1
A64,A74,2,A91,A101,4,A121,61,A143,A152,1,A172,1,A191,A201,1
A61,A71,4,A94,A101,2,A123,28,A143,A152,2,A174,1,A191,A201,2
A61,A72,3,A92,A101,1,A123,25,A143,A151,1,A173,1,A191,A201,2
A61,A72,3,A92,A101,4,A122,24,A143,A151,1,A173,1,A191,A201,2
A61,A73,1,A92,A101,1,A123,22,A143,A152,1,A173,1,A192,A201,1
A61,A75,4,A93,A101,4,A123,60,A143,A152,2,A172,1,A191,A201,2
A61,A73,2,A92,A101,4,A123,28,A143,A151,1,A173,1,A191,A201,1
A62,A73,4,A92,A101,2,A123,32,A143,A152,1,A172,1,A191,A201,2
A65,A75,4,A93,A101,4,A122,53,A143,A152,2,A173,1,A191,A201,1
A65,A72,2,A93,A101,3,A123,25,A141,A152,3,A173,1,A191,A201,1
A61,A75,4,A92,A101,2,A124,44,A143,A153,1,A174,1,A192,A201,2
A63,A75,3,A93,A101,2,A123,31,A143,A152,1,A173,2,A192,A201,1
A61,A73,4,A93,A101,4,A123,48,A143,A152,3,A173,1,A192,A201,1
A63,A73,2,A93,A101,3,A121,44,A143,A151,1,A173,2,A191,A201,1
A61,A72,1,A93,A101,3,A121,48,A143,A151,2,A172,2,A191,A202,1
A62,A72,3,A93,A101,4,A122,44,A143,A152,1,A173,1,A191,A201,1
A65,A73,2,A94,A101,1,A123,26,A143,A152,2,A173,1,A191,A202,1
A61,A73,1,A93,A101,2,A121,36,A141,A152,1,A172,1,A192,A201,1
A61,A75,4,A94,A101,4,A123,39,A143,A152,1,A172,1,A191,A201,1
A64,A73,3,A92,A101,3,A121,42,A143,A151,2,A173,1,A191,A201,1
A61,A73,3,A93,A103,2,A121,34,A143,A152,1,A173,1,A191,A201,1
A61,A75,3,A93,A101,4,A124,63,A143,A152,2,A173,1,A192,A201,2
A64,A72,3,A94,A101,3,A121,36,A141,A152,1,A173,1,A192,A201,1
A61,A73,2,A93,A101,2,A123,27,A142,A152,1,A173,1,A191,A201,1
A62,A73,2,A93,A101,2,A123,30,A143,A152,2,A173,1,A192,A201,1
A65,A75,4,A93,A101,4,A124,57,A143,A151,1,A172,1,A191,A201,1
A61,A72,4,A92,A101,1,A122,33,A141,A152,1,A174,1,A192,A201,1
A61,A72,4,A93,A101,2,A122,25,A143,A152,2,A172,1,A191,A201,2
A61,A73,1,A93,A101,3,A124,31,A141,A153,1,A173,1,A192,A201,1
A61,A73,4,A93,A102,2,A121,37,A142,A152,1,A173,1,A191,A201,2
A61,A73,2,A93,A101,2,A123,37,A143,A152,1,A173,1,A192,A201,1
A61,A73,4,A93,A101,3,A121,24,A143,A152,1,A173,1,A191,A201,1
A63,A75,4,A93,A101,2,A123,30,A141,A152,1,A174,1,A191,A201,1
A63,A73,3,A91,A101,1,A123,26,A143,A152,1,A173,1,A192,A201,1
A61,A73,2,A93,A101,4,A121,44,A143,A152,1,A172,2,A192,A201,1
A62,A74,1,A94,A101,4,A123,24,A143,A151,2,A173,1,A191,A201,1
A61,A75,4,A92,A101,4,A124,58,A142,A153,2,A172,1,A191,A201,2
A61,A72,4,A92,A101,4,A123,35,A143,A152,2,A174,1,A191,A201,1
A63,A75,4,A93,A101,4,A123,39,A143,A152,1,A173,1,A191,A201,1
A63,A71,1,A92,A101,2,A122,23,A143,A151,1,A171,1,A192,A201,1
A61,A73,1,A93,A101,4,A122,39,A143,A152,2,A172,1,A191,A201,1
A62,A73,4,A92,A102,2,A121,28,A143,A152,1,A173,1,A191,A201,1
A65,A72,4,A93,A101,2,A122,29,A141,A152,1,A172,1,A191,A201,1
A61,A75,1,A93,A101,2,A123,30,A143,A152,2,A174,1,A192,A201,1
A61,A73,3,A93,A101,2,A123,25,A143,A152,1,A173,1,A191,A201,1
A65,A73,2,A93,A101,1,A122,31,A143,A152,1,A173,1,A192,A201,1
A61,A75,4,A93,A101,4,A124,57,A141,A153,2,A173,1,A192,A201,2
A65,A73,1,A93,A103,2,A121,26,A142,A152,1,A172,2,A191,A201,1
A65,A71,2,A93,A101,1,A124,52,A143,A152,1,A174,1,A192,A201,2
A61,A73,2,A92,A101,2,A123,31,A142,A152,2,A173,1,A191,A201,1
A61,A75,3,A92,A101,2,A123,23,A143,A152,1,A174,1,A191,A201,1
A61,A72,4,A92,A102,4,A124,23,A143,A151,2,A172,1,A192,A201,2
A61,A73,2,A94,A101,1,A121,27,A141,A152,1,A173,1,A192,A201,1
A65,A75,4,A93,A103,4,A121,50,A143,A152,2,A173,1,A192,A201,1
A61,A75,4,A93,A101,4,A124,61,A143,A153,1,A174,1,A192,A201,2
A61,A73,2,A93,A101,2,A123,25,A143,A152,1,A173,1,A192,A201,2
A61,A72,4,A92,A101,4,A122,26,A143,A152,1,A173,1,A192,A201,1
A65,A75,4,A93,A101,4,A122,48,A143,A152,4,A173,2,A192,A201,1
A61,A72,2,A92,A101,2,A123,29,A141,A152,1,A173,1,A191,A201,1
A64,A73,4,A94,A101,1,A121,22,A143,A152,1,A173,1,A191,A201,1
A61,A73,4,A93,A101,4,A124,37,A142,A153,1,A173,1,A192,A201,2
A65,A73,4,A92,A101,4,A123,25,A143,A152,1,A173,1,A191,A201,1
A61,A73,1,A92,A101,2,A122,30,A141,A152,1,A173,1,A191,A201,1
A65,A75,4,A93,A101,2,A122,46,A143,A151,2,A172,1,A192,A201,1
A61,A75,3,A93,A101,4,A124,51,A141,A153,2,A174,2,A192,A201,1
A61,A74,2,A92,A101,1,A121,41,A141,A152,2,A172,1,A191,A201,1
A65,A75,4,A93,A101,4,A124,40,A143,A152,1,A174,1,A192,A201,2
A61,A75,4,A93,A101,4,A124,66,A143,A153,2,A174,1,A191,A201,1
A61,A72,4,A93,A101,3,A123,34,A143,A152,1,A173,1,A191,A201,2
A61,A74,2,A93,A101,4,A122,51,A143,A152,1,A173,1,A191,A201,1
A65,A73,2,A93,A101,2,A122,39,A143,A152,1,A172,2,A191,A201,1
A61,A72,2,A94,A101,1,A122,22,A143,A152,1,A173,1,A191,A201,1
A65,A72,1,A92,A101,1,A123,44,A143,A152,2,A173,1,A192,A201,2
A63,A75,4,A93,A101,3,A122,47,A142,A152,1,A173,1,A192,A201,1
A62,A73,3,A92,A101,4,A122,24,A143,A151,1,A172,1,A191,A201,1
A61,A75,4,A92,A103,4,A121,58,A143,A152,1,A172,1,A192,A201,1
A61,A75,3,A93,A101,4,A121,52,A143,A152,1,A172,1,A191,A201,1
A61,A73,4,A92,A103,2,A121,29,A143,A152,2,A174,1,A192,A201,1
A61,A72,4,A92,A101,1,A122,27,A143,A152,2,A173,1,A191,A201,1
A62,A73,1,A93,A101,4,A124,47,A143,A153,1,A173,2,A192,A201,2
A62,A74,4,A93,A101,3,A123,30,A143,A152,1,A174,2,A192,A201,1
A61,A74,4,A93,A101,3,A121,28,A143,A152,2,A173,1,A191,A201,2
A61,A75,4,A93,A101,4,A121,56,A143,A152,1,A173,1,A191,A201,1
A61,A75,4,A93,A101,3,A121,54,A143,A152,1,A173,1,A191,A201,1
A65,A75,4,A92,A101,3,A122,33,A141,A152,1,A172,2,A191,A201,2
A65,A75,4,A93,A102,4,A124,20,A143,A151,2,A173,1,A191,A201,1
