task_type,dataset_id,dataset_source,model_family,model_name,actual_model_used,split_method,fold,repeat_id,n_folds,train_rows,test_rows,train_time_sec,predict_time_sec,metric_name,metric_value,timestamp_utc,status,error_message
classification,heart_disease,uci,single,logistic_regression,logistic_regression,repeated_kfold,1,1,5,241,62,0.093,,accuracy,0.758064516129032,2026-04-27T11:44:52Z,ok,
classification,heart_disease,uci,single,logistic_regression,logistic_regression,repeated_kfold,1,1,5,241,62,0.093,,f1,0.716981132075472,2026-04-27T11:44:52Z,ok,
classification,heart_disease,uci,single,logistic_regression,logistic_regression,repeated_kfold,1,1,5,241,62,0.093,,roc_auc,0.86833855799373,2026-04-27T11:44:52Z,ok,
classification,heart_disease,uci,single,decision_tree,decision_tree,repeated_kfold,1,1,5,241,62,0.02,,accuracy,0.629032258064516,2026-04-27T11:44:52Z,ok,
classification,heart_disease,uci,single,decision_tree,decision_tree,repeated_kfold,1,1,5,241,62,0.02,,f1,0.581818181818182,2026-04-27T11:44:52Z,ok,
classification,heart_disease,uci,single,decision_tree,decision_tree,repeated_kfold,1,1,5,241,62,0.02,,roc_auc,0.658829676071055,2026-04-27T11:44:52Z,ok,
classification,heart_disease,uci,ensemble,gradient_boosting,gradient_boosting,repeated_kfold,1,1,5,241,62,0.0270000000000001,,accuracy,0.774193548387097,2026-04-27T11:44:53Z,ok,
classification,heart_disease,uci,ensemble,gradient_boosting,gradient_boosting,repeated_kfold,1,1,5,241,62,0.0270000000000001,,f1,0.72,2026-04-27T11:44:53Z,ok,
classification,heart_disease,uci,ensemble,gradient_boosting,gradient_boosting,repeated_kfold,1,1,5,241,62,0.0270000000000001,,roc_auc,0.856844305120167,2026-04-27T11:44:53Z,ok,
classification,heart_disease,uci,single,logistic_regression,logistic_regression,repeated_kfold,2,1,5,242,61,0.0049999999999998,,accuracy,0.852459016393443,2026-04-27T11:44:53Z,ok,
classification,heart_disease,uci,single,logistic_regression,logistic_regression,repeated_kfold,2,1,5,242,61,0.0049999999999998,,f1,0.842105263157895,2026-04-27T11:44:53Z,ok,
classification,heart_disease,uci,single,logistic_regression,logistic_regression,repeated_kfold,2,1,5,242,61,0.0049999999999998,,roc_auc,0.912337662337662,2026-04-27T11:44:53Z,ok,
classification,heart_disease,uci,single,decision_tree,decision_tree,repeated_kfold,2,1,5,242,61,0.0129999999999999,,accuracy,0.770491803278688,2026-04-27T11:44:53Z,ok,
classification,heart_disease,uci,single,decision_tree,decision_tree,repeated_kfold,2,1,5,242,61,0.0129999999999999,,f1,0.78125,2026-04-27T11:44:53Z,ok,
classification,heart_disease,uci,single,decision_tree,decision_tree,repeated_kfold,2,1,5,242,61,0.0129999999999999,,roc_auc,0.853896103896104,2026-04-27T11:44:53Z,ok,
classification,heart_disease,uci,ensemble,gradient_boosting,gradient_boosting,repeated_kfold,2,1,5,242,61,0.0230000000000006,,accuracy,0.819672131147541,2026-04-27T11:44:53Z,ok,
classification,heart_disease,uci,ensemble,gradient_boosting,gradient_boosting,repeated_kfold,2,1,5,242,61,0.0230000000000006,,f1,0.807017543859649,2026-04-27T11:44:53Z,ok,
classification,heart_disease,uci,ensemble,gradient_boosting,gradient_boosting,repeated_kfold,2,1,5,242,61,0.0230000000000006,,roc_auc,0.930735930735931,2026-04-27T11:44:53Z,ok,
classification,heart_disease,uci,single,logistic_regression,logistic_regression,repeated_kfold,3,1,5,242,61,0.0059999999999993,,accuracy,0.836065573770492,2026-04-27T11:44:53Z,ok,
