"comparison_id","run_id","task_type","dataset_id","dataset_source","model_pair","single_model_name","ensemble_model_name","metric_name","higher_better","single_metric_value","ensemble_metric_value","difference_value","abs_difference_value","ensemble_better","split_method","fold","repeat_id","train_rows","test_rows","dataset_total_rows","dataset_total_cols","difference_definition","notes","valid_pair"
"cmp::20260421T231947::classification::adult_census::logistic_regression::gradient_boosting::10::1::accuracy","20260421T231947","classification","adult_census","uci","logistic_regression__vs__gradient_boosting","logistic_regression","gradient_boosting","accuracy","True",0.824324,0.859337,0.035012,0.035012,TRUE,"repeated_kfold",10,1,29305,3256,32561,15,"ensemble_minus_single_accuracy","",TRUE
"cmp::20260421T231947::classification::adult_census::logistic_regression::gradient_boosting::10::1::precision","20260421T231947","classification","adult_census","uci","logistic_regression__vs__gradient_boosting","logistic_regression","gradient_boosting","precision","True",0.712,0.807547,0.095547,0.095547,TRUE,"repeated_kfold",10,1,29305,3256,32561,15,"ensemble_minus_single_precision","",TRUE
"cmp::20260421T231947::classification::adult_census::logistic_regression::gradient_boosting::10::1::recall","20260421T231947","classification","adult_census","uci","logistic_regression__vs__gradient_boosting","logistic_regression","gradient_boosting","recall","True",0.454082,0.545918,0.091837,0.091837,TRUE,"repeated_kfold",10,1,29305,3256,32561,15,"ensemble_minus_single_recall","",TRUE
"cmp::20260421T231947::classification::adult_census::logistic_regression::gradient_boosting::10::1::f1","20260421T231947","classification","adult_census","uci","logistic_regression__vs__gradient_boosting","logistic_regression","gradient_boosting","f1","True",0.554517,0.651446,0.096929,0.096929,TRUE,"repeated_kfold",10,1,29305,3256,32561,15,"ensemble_minus_single_f1","",TRUE
"cmp::20260421T231947::classification::adult_census::logistic_regression::gradient_boosting::10::1::roc_auc","20260421T231947","classification","adult_census","uci","logistic_regression__vs__gradient_boosting","logistic_regression","gradient_boosting","roc_auc","True",0.852732,0.908506,0.055774,0.055774,TRUE,"repeated_kfold",10,1,29305,3256,32561,15,"ensemble_minus_single_roc_auc","",TRUE
"cmp::20260421T231947::classification::adult_census::logistic_regression::gradient_boosting::10::1::logloss","20260421T231947","classification","adult_census","uci","logistic_regression__vs__gradient_boosting","logistic_regression","gradient_boosting","logloss","False",0.387307,0.319461,0.067846,0.067846,TRUE,"repeated_kfold",10,1,29305,3256,32561,15,"single_minus_ensemble_logloss","",TRUE
"cmp::20260421T231947::classification::adult_census::decision_tree::random_forest::10::1::accuracy","20260421T231947","classification","adult_census","uci","decision_tree__vs__random_forest","decision_tree","random_forest","accuracy","True",0.817568,0.866093,0.048526,0.048526,TRUE,"repeated_kfold",10,1,29305,3256,32561,15,"ensemble_minus_single_accuracy","",TRUE
"cmp::20260421T231947::classification::adult_census::decision_tree::random_forest::10::1::precision","20260421T231947","classification","adult_census","uci","decision_tree__vs__random_forest","decision_tree","random_forest","precision","True",0.614183,0.762048,0.147866,0.147866,TRUE,"repeated_kfold",10,1,29305,3256,32561,15,"ensemble_minus_single_precision","",TRUE
"cmp::20260421T231947::classification::adult_census::decision_tree::random_forest::10::1::recall","20260421T231947","classification","adult_census","uci","decision_tree__vs__random_forest","decision_tree","random_forest","recall","True",0.651786,0.645408,-0.006378,0.006378,FALSE,"repeated_kfold",10,1,29305,3256,32561,15,"ensemble_minus_single_recall","",TRUE
"cmp::20260421T231947::classification::adult_census::decision_tree::random_forest::10::1::f1","20260421T231947","classification","adult_census","uci","decision_tree__vs__random_forest","decision_tree","random_forest","f1","True",0.632426,0.698895,0.066469,0.066469,TRUE,"repeated_kfold",10,1,29305,3256,32561,15,"ensemble_minus_single_f1","",TRUE
