"dataset_id","comparison_count","ensemble_wins","single_wins","ties","non_tie_comparison_count","ensemble_win_rate_all_rows","ensemble_win_rate_excluding_ties","mean_difference","median_difference","sd_difference","min_difference","max_difference"
"airfoil",600,600,0,0,600,1,1,1.327609,1.113081,1.005952,0.009166,3.949277
"ccpp",600,600,0,0,600,1,1,0.63793,0.472898,0.548718,0.02277,2.042962
"concrete_strength",600,600,0,0,600,1,1,6.353294,4.765707,7.549027,0.021032,27.88768
"letter_recognition",900,900,0,0,900,1,1,0.411044,0.1125,0.908101,0.013233,4.697628
"magic_gamma",900,899,1,0,900,0.9989,0.9989,0.492867,0.127783,1.358582,-0.004484,6.552012
"avila",450,439,11,0,450,0.9756,0.9756,0.412883,0.3219,0.66436,-4.901586,2.909904
"adult_census",900,875,22,3,897,0.9722,0.9755,0.463091,0.085878,1.390775,-0.029337,6.550132
"bike_sharing",600,578,22,0,600,0.9633,0.9633,58.55931,48.321963,57.679869,-4.368672,174.940808
"energy_efficiency",600,578,22,0,600,0.9633,0.9633,2.006798,0.797961,2.787192,-0.450041,10.493417
"online_shoppers",900,855,43,2,898,0.95,0.9521,0.389643,0.099437,1.042348,-0.092482,5.867315
"wine_quality",600,557,43,0,600,0.9283,0.9283,0.327763,0.097218,0.535854,-0.955721,2.946198
"dry_bean",900,833,67,0,900,0.9256,0.9256,0.296846,0.030468,0.816659,-0.008909,4.285982
"insurance",600,537,63,0,600,0.895,0.895,1431.084206,60.871341,2444.312019,-598.195747,10417.340338
"bank_marketing",900,732,168,0,900,0.8133,0.8133,0.385213,0.047801,1.273419,-0.26087,5.938395
"german_credit",900,662,210,28,872,0.7356,0.7592,0.743677,0.040942,2.848427,-0.134073,16.687309
"breast_cancer",900,576,220,104,796,0.64,0.7236,0.338116,0.05,0.657272,-0.12,5.351312
"heart_disease",900,485,291,124,776,0.5389,0.625,0.504517,0.018452,2.047917,-0.285714,16.25636
"abalone",600,339,261,0,600,0.565,0.565,0.496149,0.023104,1.555769,-2.308982,6.941204
"housing_prices",600,265,335,0,600,0.4417,0.4417,11654.967221,-0.002857,28258.780167,-8825.57045,104668.683603
